,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2021-01-04 01:00:00+01:00,24.05,-11.375893,-9.44389,-9.286101,-7.9950647,1.9102507,39.69835,14.78506,8.0
2021-01-04 02:00:00+01:00,23.88,-10.964055,-9.816487,-8.976378,-8.324317,1.9017391,41.839157,14.716451,8.0
2021-01-04 03:00:00+01:00,24.03,-11.465814,-9.518828,-9.474831,-8.08269,1.8900442,39.69919,14.902113,8.0
2021-01-04 04:00:00+01:00,24.58,-12.371854,-8.681861,-10.28827,-7.4010754,1.8933382,35.05899,15.114148,8.0
2021-01-04 05:00:00+01:00,25.84,-12.382933,-8.2144165,-10.323238,-7.0109673,1.8793468,33.558945,14.8598,8.0
2021-01-04 06:00:00+01:00,28.21,-12.199116,-8.122523,-10.166283,-6.956855,1.841588,33.65683,14.655846,8.0
2021-01-04 07:00:00+01:00,49.76,-11.785827,-8.335873,-9.806537,-7.1652584,1.8041992,35.270996,14.435805,8.0
2021-01-04 08:00:00+01:00,54.42,-11.37049,-8.579735,-9.454912,-7.3600483,1.769165,37.03682,14.244293,8.0
2021-01-04 09:00:00+01:00,55.69,-11.245838,-8.719368,-9.350393,-7.468424,1.7574339,37.787933,14.230118,8.0
2021-01-04 10:00:00+01:00,55.8,-11.4815,-8.547674,-9.570511,-7.3066273,1.7787085,36.666733,14.313894,8.0
2021-01-04 11:00:00+01:00,58.27,-10.571876,-8.927379,-8.724206,-7.5818405,1.7697792,40.179306,13.837003,8.0
2021-01-04 12:00:00+01:00,57.52,-11.354282,-8.450153,-9.522945,-7.2622423,1.7628508,36.657608,14.153615,8.0
2021-01-04 13:00:00+01:00,56.53,-11.970636,-7.5919485,-10.082079,-6.5308275,1.7270842,32.383453,14.175113,8.0
2021-01-04 14:00:00+01:00,57.99,-11.96213,-7.4909296,-10.055392,-6.3964224,1.6899157,32.05565,14.114056,8.0
2021-01-04 15:00:00+01:00,58.03,-12.21552,-7.2760735,-10.278273,-6.2245464,1.6625948,30.7798,14.218305,8.0
2021-01-04 16:00:00+01:00,60.5,-12.6888685,-6.8264685,-10.660496,-5.845688,1.6448355,28.279755,14.40861,8.0
2021-01-04 17:00:00+01:00,65.22,-12.595664,-6.567871,-10.55076,-5.6231165,1.6434116,27.539291,14.205199,8.0
2021-01-04 18:00:00+01:00,60.05,-12.56845,-6.2093754,-10.572518,-5.356305,1.6456919,26.291443,14.0186405,8.0
2021-01-04 19:00:00+01:00,53.73,-12.61837,-5.775878,-10.639716,-5.0098114,1.6381187,24.595276,13.877465,8.0
2021-01-04 20:00:00+01:00,37.68,-12.682556,-5.449095,-10.670192,-4.7159643,1.6320248,23.25093,13.8036175,8.0
2021-01-04 21:00:00+01:00,38.49,-12.917636,-5.098817,-10.873657,-4.4186964,1.6344042,21.540024,13.887522,8.0
2021-01-04 22:00:00+01:00,30.95,-12.660867,-4.606862,-10.653502,-4.0225887,1.6578264,19.994736,13.472962,8.0
2021-01-04 23:00:00+01:00,27.35,-12.302196,-4.0415964,-10.379166,-3.5212536,1.5844173,18.186722,12.949074,8.0
2021-01-05 00:00:00+01:00,27.81,-12.578274,-3.990387,-10.672672,-3.502987,1.5698977,17.601349,13.196066,8.0
2021-01-05 01:00:00+01:00,27.45,-12.614845,-4.401453,-10.735434,-3.843995,1.5728369,19.234436,13.360656,8.0
2021-01-05 02:00:00+01:00,27.08,-12.704292,-4.461156,-10.781521,-3.8533773,1.5796404,19.348907,13.464805,8.0
2021-01-05 03:00:00+01:00,27.14,-12.454858,-4.8134212,-10.5487995,-4.1596956,1.5877895,21.130005,13.352622,8.0
2021-01-05 04:00:00+01:00,27.79,-11.977221,-5.1614113,-10.159531,-4.512048,1.5836525,23.312943,13.042008,8.0
2021-01-05 05:00:00+01:00,29.81,-11.649988,-5.268306,-9.900602,-4.6485662,1.5752611,24.333237,12.785824,8.0
2021-01-05 06:00:00+01:00,35.78,-11.816716,-5.435833,-10.048162,-4.774085,1.5756025,24.703003,13.007039,8.0
2021-01-05 07:00:00+01:00,53.64,-11.704016,-5.951186,-9.893729,-5.2084093,1.5845633,26.952164,13.130141,8.0
2021-01-05 08:00:00+01:00,60.0,-11.812826,-6.423464,-9.968194,-5.5713778,1.5985527,28.536041,13.446328,8.0
2021-01-05 09:00:00+01:00,60.12,-12.290284,-6.3027115,-10.325932,-5.4681044,1.6146269,27.149689,13.812141,8.0
2021-01-05 10:00:00+01:00,61.18,-12.235037,-6.3097,-10.278752,-5.4551306,1.6140566,27.280502,13.766207,8.0
2021-01-05 11:00:00+01:00,62.46,-10.333677,-6.9592104,-8.673885,-6.0060863,1.5703697,33.958282,12.458551,8.0
2021-01-05 12:00:00+01:00,61.48,-8.990787,-7.9951115,-7.6398,-6.9824343,1.5019484,41.645294,12.031461,8.0
2021-01-05 13:00:00+01:00,62.29,-8.615503,-8.406369,-7.2492304,-7.320529,1.461298,44.296097,12.03719,8.0
2021-01-05 14:00:00+01:00,62.04,-8.774366,-9.004935,-7.340213,-7.8051596,1.4885969,45.742996,12.572922,8.0
2021-01-05 15:00:00+01:00,62.51,-8.973279,-9.367131,-7.489585,-8.096422,1.5521564,46.230225,12.971619,8.0
2021-01-05 16:00:00+01:00,64.26,-9.305919,-9.355645,-7.753727,-8.07624,1.5600061,45.15268,13.1957655,8.0
2021-01-05 17:00:00+01:00,65.6,-9.312987,-9.766816,-7.771165,-8.401801,1.5405531,46.36258,13.495275,8.0
2021-01-05 18:00:00+01:00,60.13,-9.364895,-10.019523,-7.76674,-8.563727,1.552105,46.93419,13.714667,8.0
